Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-kl.dk.fhir.rehab.json	14111	-	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	81	126	0	0	0	3	0	1
fsh-generated/resources/Bundle-4a391f69-a909-4a79-92bd-1b0f812dc52a.json	7394	7	0	0	0	0	4	0	0	1516	0	0	0	0	0	0	0	0	0	0	51	77	0	0	0	0	0	0
fsh-generated/resources/Bundle-4b9443a2-7231-4387-8e3d-614bf193df49.json	14074	7	1	0	0	0	4	0	1	253	0	0	0	0	0	0	0	1	0	0	74	102	0	0	0	0	0	0
fsh-generated/resources/Bundle-9960b8dc-5ebf-4166-83d7-b042bcc6aca5.json	6166	6	0	0	0	0	3	0	0	122	0	0	0	0	0	0	0	0	0	0	46	56	0	0	0	0	0	0
fsh-generated/resources/Bundle-RuddiIndberetningsrapport.json	15206	7	0	0	0	0	3	0	1	240	0	0	0	0	0	0	0	0	0	0	89	120	0	0	0	0	0	0
fsh-generated/resources/Bundle-c2f75bbf-2027-41bf-b597-de5e242f2b3d.json	15492	6	1	0	0	0	4	0	0	236	0	0	0	0	0	0	0	0	0	0	86	113	0	0	0	0	0	0
fsh-generated/resources/Bundle-e87d5e68-e5f3-476f-988f-4efda86b0645.json	6978	4	0	0	0	0	3	0	0	104	0	0	0	0	0	0	0	0	0	0	55	73	0	0	0	0	0	0
fsh-generated/resources/CarePlan-RuddiFunctionalTraening.json	1457	5	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	27	38	0	0	0	0	0	0
fsh-generated/resources/CarePlan-RuddiTerapeutfagligUndersoegelse.json	1476	2	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	28	43	0	0	0	0	0	0
fsh-generated/resources/CarePlan-RuddiTraening.json	1445	4	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	28	44	0	0	0	0	0	0
fsh-generated/resources/CarePlan-RuddiTraeningsforloeb.json	972	3	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	27	33	0	0	0	0	0	0
fsh-generated/resources/Condition-RuddiAktionsdiagnoseGGOP.json	601	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	24	29	0	0	0	0	0	0
fsh-generated/resources/Condition-RuddiTilstand.json	1016	3	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	26	33	0	0	0	0	0	0
fsh-generated/resources/Encounter-RuddiKontakt1Traening.json	744	3	1	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	23	36	0	0	0	0	0	0
fsh-generated/resources/Encounter-RuddiKontaktUndersoegelse.json	694	4	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	21	31	0	0	0	0	0	0
fsh-generated/resources/Organization-7fdd6dc0-3f9f-4914-b34a-7c6495ba0880.json	341	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	22	26	0	0	0	0	0	0
fsh-generated/resources/Organization-AfsenderAfRuddisGGOP.json	324	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	23	28	0	0	0	0	0	0
fsh-generated/resources/Organization-UdfoererAfRuddisRehab.json	326	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	27	0	0	0	0	0	0
fsh-generated/resources/Patient-RuddiTestBerggren.json	491	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	24	27	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-RuddiGGOPInformation.json	1337	4	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	25	46	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BasedOnCarePlanExtension.json	1730	3	1	0	0	0	0	12	0	7	0	0	0	0	0	0	0	0	0	0	72	234	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BasedOnServiceRequestExtension.json	1554	4	0	0	0	0	0	7	0	5	0	0	0	0	0	0	0	0	0	0	69	234	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DeliveryType.json	1371	4	0	0	0	0	0	7	0	5	0	0	0	0	0	0	0	0	0	0	66	227	0	0	1	1	0	0
fsh-generated/resources/StructureDefinition-PreconditionDate.json	1342	3	0	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0	55	205	0	0	0	2	0	0
