URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://fhir.kl.dk/gateway/ValueSet/DeliveryTypes,1.2.0,active,,DeliveryTypes,DeliveryTypes,"The delivery context types","StructureDefinition/klgateway-care-planned-intervention","kl.dk.fhir.term"
http://fhir.kl.dk/gateway/ValueSet/EncounterClassCodes,1.2.0,active,,EncounterClassCodes,KontaktKlasseKoder,"Codes to describe the mode of delivery of an encounter","StructureDefinition/klgateway-care-general-encounter","kl.dk.fhir.term"
http://fhir.kl.dk/gateway/ValueSet/FSIIICareConditions,1.2.0,active,,FSIIICareConditions,FSIIICareConditions,"Conditions defined by FSIII for nursing and home care","StructureDefinition/klgateway-care-condition,StructureDefinition/klgateway-care-finding-context-at-risk-extension",
http://fhir.kl.dk/gateway/ValueSet/FSIIICareGoalTypes,1.2.0,active,,FSIIICareGoalTypes,FSIIICareGoalTypes,"Goal Types defined by FSIII for nursing and home care",,"kl.dk.fhir.term"
http://fhir.kl.dk/gateway/ValueSet/FSIIICareInterventions,1.2.0,active,,FSIIICareInterventions,FSIIICareInterventions,"Interventions defined by FSIII for nursing and home care","StructureDefinition/klgateway-care-completed-intervention,StructureDefinition/klgateway-care-planned-intervention",
http://fhir.kl.dk/gateway/ValueSet/FSIIICareMatterOfInterests,1.2.0,active,,FSIIICareMatterOfInterests,FSIIICareMatterOfInterests,"Matters of Interests (areas) defined by FSIII for nursing and home care","StructureDefinition/klgateway-care-matter-of-interest-observation",
http://fhir.kl.dk/gateway/ValueSet/KLGatewayCareMatterOfInterestValues,1.2.0,active,,KLGatewayCareMatterOfInterestValues,KLGatewayCareMatterOfInterestValues,"Values of Matters of Interests (areas)","StructureDefinition/klgateway-care-matter-of-interest-observation","kl.dk.fhir.term"
http://fhir.kl.dk/term/ValueSet/KLCitizenObservationCodesFSIII,2.2.0,active,,KLCitizenObservationCodesFSIII,KLBorgervurderingsObservationskoderFSIII,"Observation codes for citizens own observations as defined by FSIII","StructureDefinition/klgateway-care-citizens-own-observation","kl.dk.fhir.term"
http://fhir.kl.dk/term/ValueSet/KLCitizenObservationResultCodesFSIII,2.2.0,active,,KLCitizenObservationResultCodesFSIII,KLBorgervurderingsResultatkoderFSIII,"Performance and Importance level codes, as evaluated by the citizen","StructureDefinition/klgateway-care-citizens-own-observation",
http://fhir.kl.dk/term/ValueSet/KLConditionCodesHomeCare,2.2.0,active,,KLConditionCodesHomeCare,KLTilstandeKoderHjemmepleje,"Danish municipality home care condition codes (funktionsevnetilstande)","ValueSet/FSIIICareConditions","kl.dk.fhir.term"
http://fhir.kl.dk/term/ValueSet/KLConditionCodesNursing,2.2.0,active,,KLConditionCodesNursing,KLTilstandeKoderSygepleje,"Danish municipality nursing condition codes","ValueSet/FSIIICareConditions","kl.dk.fhir.term"
http://fhir.kl.dk/term/ValueSet/KLEncounterTypes,2.2.0,active,,KLEncounterTypes,KLKontaktTyper,"Encounter types in Danish municipality health, social and elderly care (note that these are specific to this model, they are not replicas of a municipality terminology service)","StructureDefinition/klgateway-care-general-encounter,StructureDefinition/klgateway-care-encounter","kl.dk.fhir.term"
http://fhir.kl.dk/term/ValueSet/KLFollowUpCodesFSIII,2.2.0,active,,KLFollowUpCodesFSIII,KLOpfølgningKoderFSIII,"Follow-up codes used in FSIII","StructureDefinition/klgateway-care-follow-up-observation","kl.dk.fhir.term"
http://fhir.kl.dk/term/ValueSet/KLGoalTypeCodes,2.2.0,active,,KLGoalTypeCodes,KLMålKategoriKoder,"Codes used to distinguish different kinds of goals","StructureDefinition/klgateway-care-goal","kl.dk.fhir.term"
http://fhir.kl.dk/term/ValueSet/KLHomeCareAreasFSIII,2.2.0,active,,KLHomeCareAreasFSIII,KLHjemmeplejeOmråderFSIII,"Observation codes for the five home care areas as defined by FSIII","ValueSet/FSIIICareMatterOfInterests","kl.dk.fhir.term"
http://fhir.kl.dk/term/ValueSet/KLHomeCareInterventionsFSIII,2.2.0,active,,KLHomeCareInterventionsFSIII,KLHjemmeplejeIndsatserFSIII,"Home Care Interventions as described by FSIII","ValueSet/FSIIICareInterventions","kl.dk.fhir.term"
http://fhir.kl.dk/term/ValueSet/KLNursingAreasFSIII,2.2.0,active,,KLNursingAreasFSIII,KLSygeplejeOmråderFSIII,"Observation codes for the 12 nursing areas as defined by FSIII","ValueSet/FSIIICareMatterOfInterests","kl.dk.fhir.term"
http://fhir.kl.dk/term/ValueSet/KLNursingInterventionsFSIII,2.2.0,active,,KLNursingInterventionsFSIII,KLSygeplejeIndsatserFSIII,"Nursing interventions as described by FSIII","ValueSet/FSIIICareInterventions","kl.dk.fhir.term"
http://fhir.kl.dk/term/ValueSet/KLSeveritiesFSIII,2.2.0,active,,KLSeveritiesFSIII,KLFunktionsevneniveauFSIII,"Severities related to conditions in FSIII home care (funktionsniveau)","StructureDefinition/klgateway-care-condition,StructureDefinition/klgateway-care-goal","kl.dk.fhir.term"
http://fhir.kl.dk/term/ValueSet/KLTargetMeasureCodes,2.2.0,active,,KLTargetMeasureCodes,KLTypeAfObservationPåMål,"Target measure code, that determines whether the target is expressed as a severity, change value or using another observation","StructureDefinition/klgateway-care-goal","kl.dk.fhir.term"
http://terminology.hl7.org/ValueSet/v3-ActEncounterCode,3.0.0,active,"2.16.840.1.113883.1.11.13955",ActEncounterCode,ActEncounterCode,"Domain provides codes that qualify the ActEncounterClass (ENC)","ValueSet/EncounterClassCodes","THO (V3)"
