Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-kl.dk.fhir.ffinst.json	25630	-	0	0	0	0	0	0	4	1030	0	0	0	0	0	0	0	0	0	0	285	276	0	0	0	0	5	0	1
fsh-generated/resources/Observation-HeleneRespirationRate.json	1402	11	1	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	24	28	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-KLToolsCareRespirationRate.json	6946	697	0	0	0	0	0	4859	0	4852	0	0	0	0	0	0	0	3	0	0	778	5315	0	0	0	0	14	1	1
fsh-generated/resources/ValueSet-WHO5SCTfindingsCalm2.json	581	4	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	12	7597	0	0	1	0	0	0	0
fsh-generated/resources/Observation-HeleneBloodPressure.json	2225	17	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	33	26	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-EQ5DSCTfindingsActivity.json	662	4	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	14	66	0	0	0	0	1	0	1
fsh-generated/resources/ValueSet-ConsciousnessSCTFindings.json	739	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	16	70	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-KLToolsCareOxygenSaturation.json	6849	714	0	0	0	0	0	4909	0	4679	0	0	1	0	0	0	0	1	0	0	761	3376	0	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-KLToolsCareEQ5DObservationMobility.json	5040	375	0	0	0	0	0	3191	0	3028	0	0	0	0	0	0	0	1	0	0	607	1903	0	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-KLToolsWHO5ObservationCalm2.json	5019	366	0	0	0	0	0	3054	0	3022	0	0	0	0	0	0	0	1	0	0	485	1822	0	0	0	0	9	0	1
fsh-generated/resources/ValueSet-OxygenSaturationSCTobservables.json	603	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	49	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-KLToolsWHO5ObservationInterest5.json	5046	343	0	0	0	0	0	3089	0	2990	0	0	0	0	0	0	0	1	0	0	521	2193	0	0	0	0	8	0	0
fsh-generated/resources/Observation-HeleneConsciousness.json	1146	11	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	23	16	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-WHO5AnswerCodesActive.json	1012	5	1	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	0	14	52	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-KLToolsQuestionnaire.json	2268	94	0	0	0	0	0	2379	0	2313	0	0	0	0	0	0	0	1	0	0	437	1605	0	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-KLToolsCareUrinStix.json	6833	743	0	0	0	0	0	3773	0	3739	0	0	0	0	0	0	0	1	0	0	596	2433	0	0	0	0	11	0	0
fsh-generated/resources/ValueSet-ConsciousnessCodes.json	867	4	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	14	51	0	0	0	0	1	0	0
fsh-generated/resources/Observation-HeleneEQ5Dmobility.json	1571	13	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	26	19	0	0	0	0	0	0	0
fsh-generated/resources/Observation-HeleneBodyWeight.json	1390	11	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	21	26	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-KLToolsCareRSS.json	4836	516	0	0	0	0	0	3624	0	3340	0	0	0	0	0	0	0	1	0	0	588	2177	0	0	0	0	14	1	1
fsh-generated/resources/Observation-HeleneUrinStix.json	1164	10	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	22	23	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-KLToolsCareEQ5DObservationAnxiety.json	5033	347	0	0	0	0	0	3397	0	2968	0	0	0	0	0	0	0	1	0	0	521	2127	0	0	0	0	7	0	0
fsh-generated/resources/ValueSet-EQ5Dactivity.json	675	4	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	10	43	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-KLToolsCareBloodPressure.json	9338	1029	0	0	0	0	0	7458	0	7069	0	0	1	0	0	0	0	2	0	0	1154	5508	0	0	0	0	17	0	1
fsh-generated/resources/ValueSet-HeartRateSCTobservables.json	848	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	13	40	0	0	0	0	0	0	0
fsh-generated/resources/Observation-HeleneBodyHeight.json	1100	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	16	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-SCTUrinStix.json	1271	5	1	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	17	38	0	0	0	0	1	0	0
