URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://fhir.kl.dk/children/ValueSet/BodyheightSCTobservablesChildren,2.1.0,active,,BodyheightSCTobservablesChildren,HøjdeObservationskoderSCT,"SNOMED CT observables for length/height",,"Internal"
http://fhir.kl.dk/children/ValueSet/ChildrenParentRelationshipCodes,2.1.0,active,,ChildrenParentRelationshipCodes,ForældreBarnRelationsKoder,"Mandatory result values for parent child relationship in small children and school children",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/CommunicationCodes,2.1.0,active,,CommunicationCodes,KommunikationKoder,"Mandatory result values for ability to communicate in small children and school children",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/EncounterClassCodes,2.1.0,active,,EncounterClassCodes,KontaktKlasseKoder,"Codes to describe the mode of delivery of an encounter",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/EncounterTypes,2.1.0,active,,EncounterTypes,SundhedsplejeKontaktTyper,"Extension on encountertype valueset, to be implemented in KL-term and FKI, does not use exciting codes only those specific to childrens nursing",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/ExamResults,2.1.0,active,,ExamResults,UndersøgelsesResultatKoder,"Valueset for optional history and examination findings in small children and school children",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/FeedingResultsChildren,2.1.0,active,,FeedingResultsChildren,ResultatkoderSmåbørnMad,"Resultcodes for feeding",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/FindingInformerCodes,2.1.0,active,,FindingInformerCodes,KildeTilOplysningKoder,"Codes for who informed the findings",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/HearingCodes,2.1.0,active,,HearingCodes,HørelseKoder,"Mandatory result values for hearning in school children",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/IndicatorCodesChildren,2.1.0,active,,IndicatorCodesChildren,SundhedsplejeIndikatorkoder,"Indicator-observables for parents and children",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/KLHealthNurseConditions,2.1.0,active,,KLHealthNurseConditions,Sundhedsplejetilstande,"Health nurse conditions, that relates to nursing problem areas and/or challenges found in examinations and evaluations made by the health nurse (sundhedsplejerske)",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/KLHealthNurseInterventions,2.1.0,active,,KLHealthNurseInterventions,Sundhedsplejeindsatser,"Need based interventions used in municipality health nursing (sundhedsplejen)",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/MotorFunctionCodes,2.1.0,active,,MotorFunctionCodes,MotorikKoder,"Mandatory result values for motor function in small children and school children",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/NicotineCodes,2.1.0,active,,NicotineCodes,NikotinKoder,"Mandatory result values for nicotine use in school children",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/NutritionCodes,2.1.0,active,,NutritionCodes,ErnæringKoder,"Mandatory result values for nutrition in school children",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/ObservationUnitsWeight,2.1.0,active,,ObservationUnitsWeight,ObservationsEnhederVægt,"UCUM units for childrens weight",,"UCUM"
http://fhir.kl.dk/children/ValueSet/ParentSocialStatusCodes,2.1.0,active,,ParentSocialStatusCodes,ForældresSårbarhedKoder,"Mandatory result values for parents social status. Only documented in parents of small children",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/ParentTypes,2.1.0,active,,ParentTypes,ForælderTyper,"Limitation on HL7 role class to only represent parent-relationships, as accepted in the children data-set",,"THO (V3)"
http://fhir.kl.dk/children/ValueSet/ParentsMentalCodes,2.1.0,active,,ParentsMentalCodes,ForældresPsykiskeTilstandKoder,"Mandatory result values for parents mental state",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/PassiveSmokingCodes,2.1.0,active,,PassiveSmokingCodes,PassivRygningKoder,"Mandatory result values for passive smoking in small- and school children",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/PhysicalActivityCodes,2.1.0,active,,PhysicalActivityCodes,FysiskAktiviteteKoder,"Mandatory result values for physical activity in school children",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/SightCodes,2.1.0,active,,SightCodes,SynKoder,"Mandatory result values for sight in school children",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/SleepCodes,2.1.0,active,,SleepCodes,SøvnKoder,"Mandatory result values for challenges in sleeping pattern in small children and school children",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/SocialInteractionCodes,2.1.0,active,,SocialInteractionCodes,SocialKontaktKoder,"Mandatory result values for social interaction in small children and school children",,"kl.dk.fhir.term"
http://fhir.kl.dk/children/ValueSet/SocialSupportNetworkCodes,2.1.0,active,,SocialSupportNetworkCodes,NetværkKoder,"Mandatory result values for social support network of the family",,"kl.dk.fhir.term"
