URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://fhir.kl.dk/rehab/ValueSet/CancellationTypes,2.2.0,active,,CancellationTypes,CancellationTypes,"Cancellation valueset, to be implemented in KL-term or MedCom-term","StructureDefinition/klgateway-140-care-plan","kl.dk.fhir.term"
http://fhir.kl.dk/rehab/ValueSet/CarePlanCategories140,2.2.0,active,,CarePlanCategories140,CarePlanCategories,"The care plan categories usefull for §140","StructureDefinition/klgateway-140-care-plan","kl.dk.fhir.term"
http://fhir.kl.dk/rehab/ValueSet/Conditions140,2.2.0,active,,Conditions140,§140 tilstande,"Danish municipality theraphy condition codes","StructureDefinition/klgateway-140-condition","kl.dk.fhir.term"
http://fhir.kl.dk/rehab/ValueSet/DeliveryTypes140,2.2.0,active,,DeliveryTypes140,DeliveryTypes,"The delivery context types allowed in §140 rehabilitation","StructureDefinition/klgateway-140-planned-intervention","kl.dk.fhir.term"
http://fhir.kl.dk/rehab/ValueSet/EncounterClassCodes,2.2.0,active,,EncounterClassCodes,KontaktKlasseKoder,"Codes to describe the mode of delivery of an encounter","StructureDefinition/klgateway-140-encounter","kl.dk.fhir.term"
http://fhir.kl.dk/rehab/ValueSet/ServiceRequestStatusReasons140,2.2.0,active,,ServiceRequestStatusReasons140,ServiceRequestStatusReasons,"Status Reason codes as used in §140 rehabilitation","StructureDefinition/klgateway-140-servicerequest","kl.dk.fhir.term"
http://fhir.kl.dk/rehab/ValueSet/ServiceRequestTypes140,2.2.0,active,,ServiceRequestTypes140,ServiceRequestTypes,"The type of ServicRequest (GGOP), as defined by MedCom, supplemented by the two municipality specific types","StructureDefinition/klgateway-140-servicerequest","kl.dk.fhir.term"
http://fhir.kl.dk/rehab/ValueSet/ServiceTypes140,2.2.0,active,,ServiceTypes140,ServiceTypes,"The service types allowed in §140","StructureDefinition/klgateway-140-servicerequest","kl.dk.fhir.term"
http://fhir.kl.dk/term/ValueSet/KLTrainingInterventionsFSIII,2.2.0,active,,KLTrainingInterventionsFSIII,KLTræningIndsatserFSIII,"Training interventions as defined by FSIII","StructureDefinition/klgateway-140-planned-intervention","kl.dk.fhir.term"
http://terminology.hl7.org/ValueSet/v3-ActEncounterCode,3.0.0,active,"2.16.840.1.113883.1.11.13955",ActEncounterCode,ActEncounterCode,"Domain provides codes that qualify the ActEncounterClass (ENC)","ValueSet/EncounterClassCodes","THO (V3)"
